"RecID","year","fn_code","fn_number","cabin_class","DEPARTURE_AIRPORT","ARRIVAL_AIRPORT","Anzahl.Flugsegmente","currencies","EMISSIONS_KGCO2EQ","dep_lat","dep_lon","dep_country","arr_lat","arr_lon","arr_country","distance_km","kgCO2km"
154,2020,"KL",1958,"business","ZRH","AMS",1,"USD",300,47.458056,8.548056,"CH",52.308601,4.76389,"NL",604.1411303,0.496572713
155,2020,"KL",1969,"business","AMS","ZRH",1,"USD",300,52.308601,4.76389,"NL",47.458056,8.548056,"CH",604.1411303,0.496572713
156,2020,"KL",1995,"business","AMS","KRK",1,"USD",400,52.308601,4.76389,"NL",50.077702,19.7848,"PL",1074.797349,0.372163181
157,2020,"KL",1996,"business","KRK","AMS",1,"USD",400,50.077702,19.7848,"PL",52.308601,4.76389,"NL",1074.797349,0.372163181
158,2020,"CA",1596,"business","HGH","PEK",1,"USD",400,30.22949982,120.4339981,"CN",40.08010101,116.5849991,"CN",1150.827889,0.347575866
159,2020,"MF",8146,"business","PEK","HGH",1,"USD",400,40.08010101,116.5849991,"CN",30.22949982,120.4339981,"CN",1150.827889,0.347575866
160,2020,"WK",90,"business","ZRH","EZE",1,"USD",4300,47.458056,8.548056,"CH",-34.8222,-58.5358,"AR",11332.98442,0.379423446
161,2020,"WK",91,"business","EZE","ZRH",1,"USD",4300,-34.8222,-58.5358,"AR",47.458056,8.548056,"CH",11332.98442,0.379423446
162,2020,"",NA,"business","SFO","DEN",1,"USD",500,37.61899948,-122.375,"US",39.86169815,-104.6729965,"US",1554.514299,0.321643873
163,2020,"BA",218,"business","DEN","LHR",1,"USD",2700,39.86169815,-104.6729965,"US",51.4706,-0.461941,"GB",7504.869344,0.359766423
164,2020,"BA",285,"business","LHR","SFO",1,"USD",3200,51.4706,-0.461941,"GB",37.61899948,-122.375,"US",8625.650205,0.370986526
165,2020,"BA",709,"business","ZRH","LHR",1,"USD",300,47.458056,8.548056,"CH",51.4706,-0.461941,"GB",789.3363672,0.380066107
166,2020,"BA",980,"business","LHR","TXL",1,"USD",300,51.4706,-0.461941,"GB",52.5597,13.2877,"DE",948.3056585,0.316353696
167,2020,"DL",407,"business","ZRH","JFK",2,"USD",2300,47.458056,8.548056,"CH",40.639801,-73.7789,"US",6316.7853,0.364109257
168,2020,"DL",2219,"business","JFK","DEN",2,"USD",1000,40.639801,-73.7789,"US",39.86169815,-104.6729965,"US",2612.705672,0.382744988
169,2020,"LX",919,"business","DRS","ZRH",1,"USD",300,51.13280106,13.76720047,"DE",47.458056,8.548056,"CH",557.3130674,0.538297086
170,2020,"AC",864,"business","YUL","LHR",1,"USD",1900,45.47060013,-73.74079895,"CA",51.4706,-0.461941,"GB",5220.043693,0.363981628
173,2020,"LH",2367,"business","ZRH","MUC",1,"USD",200,47.458056,8.548056,"CH",48.353802,11.7861,"DE",261.371494,0.765194386
